epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6584,3.36982,5.00905,2.30899,0,0,0,0,2.61455,4.95126,2.15138,3.6e-05,3.6e-05,3.6e-05
2,45.0454,2.88445,4.99149,1.99052,0,0,0,0,2.26044,4.75579,1.79582,7.54984e-05,7.54984e-05,7.54984e-05
3,73.3434,2.27539,4.77025,1.71882,0,0,0,0,2.23432,4.57267,1.64478,0.000114469,0.000114469,0.000114469
4,101.486,2.03635,4.61394,1.54145,0,0,0,0,1.93671,4.43378,1.45188,0.000152911,0.000152911,0.000152911
5,132.881,1.8399,4.4217,1.42272,0.26923,0.16667,0.22741,0.10439,1.55668,4.29994,1.28107,0.000190826,0.000190826,0.000190826
6,161.449,1.77166,4.23442,1.34507,0.24437,0.35088,0.31592,0.16898,1.50715,4.20403,1.24163,0.000228212,0.000228212,0.000228212
7,189.917,1.70769,4.11219,1.28799,0.19511,0.47368,0.38854,0.21084,1.51724,4.10417,1.20901,0.00026507,0.00026507,0.00026507
8,218.819,1.64428,3.7899,1.29098,0.21024,0.74561,0.57232,0.29037,1.5878,3.86331,1.21622,0.000301401,0.000301401,0.000301401
9,249.096,1.57184,3.5383,1.23863,0.1181,0.7807,0.59616,0.26204,1.66283,3.66092,1.25636,0.000337203,0.000337203,0.000337203
10,280.046,1.58332,3.3139,1.22833,0.89927,0.36629,0.63711,0.32906,1.56847,2.96748,1.28322,0.000372478,0.000372478,0.000372478
11,310.763,1.57652,3.12856,1.20771,0.82592,0.46913,0.69938,0.31591,1.73456,2.64788,1.28804,0.0003736,0.0003736,0.0003736
12,342.521,1.54809,2.84989,1.1976,0.81968,0.67746,0.88954,0.44568,1.59346,2.1644,1.24808,0.00037096,0.00037096,0.00037096
13,375.233,1.53587,2.78034,1.22336,0.75639,0.75338,0.90246,0.46159,1.62221,1.86667,1.27568,0.00036832,0.00036832,0.00036832
14,403.33,1.48354,2.4618,1.16017,0.85817,0.95323,0.97419,0.49169,1.61326,1.23619,1.25023,0.00036568,0.00036568,0.00036568
15,434.095,1.50607,2.32561,1.18857,0.93882,0.91539,0.9754,0.51654,1.5893,1.16473,1.22819,0.00036304,0.00036304,0.00036304
16,463.807,1.50815,2.1855,1.17811,0.94505,0.94424,0.97875,0.54398,1.5408,1.10828,1.20913,0.0003604,0.0003604,0.0003604
17,492.046,1.49111,2.01032,1.20324,0.96047,0.96491,0.9925,0.55978,1.52488,1.10185,1.21521,0.00035776,0.00035776,0.00035776
18,521.735,1.44502,1.79762,1.1627,0.96803,0.99506,0.99417,0.57434,1.49953,1.03666,1.18448,0.00035512,0.00035512,0.00035512
19,549.023,1.43095,1.6997,1.15935,0.97876,1,0.995,0.57152,1.45102,1.00299,1.15817,0.00035248,0.00035248,0.00035248
20,577.633,1.41065,1.5981,1.1411,0.98324,0.99797,0.995,0.5941,1.3797,1.00245,1.12346,0.00034984,0.00034984,0.00034984
